# Residuals   
# Time        	p             	Ux            	Uy            
2.92          	3.321504e-01	6.583918e-03	2.707217e-02
2.93          	3.302069e-01	6.622349e-03	2.634853e-02
2.94          	3.012335e-01	6.646433e-03	2.559008e-02
2.95          	2.915966e-01	6.708414e-03	2.516527e-02
2.96          	2.735979e-01	6.758824e-03	2.482280e-02
2.97          	2.748212e-01	6.806317e-03	2.443341e-02
2.98          	2.713106e-01	6.868982e-03	2.404157e-02
2.99          	2.769868e-01	6.946166e-03	2.386693e-02
3             	2.720917e-01	6.982630e-03	2.364803e-02
3.01          	2.670291e-01	7.013606e-03	2.346249e-02
3.02          	2.589821e-01	7.020917e-03	2.325532e-02
3.03          	2.290871e-01	6.995307e-03	2.317799e-02
3.04          	2.249709e-01	6.952934e-03	2.307919e-02
3.05          	2.061812e-01	6.861813e-03	2.296022e-02
3.06          	2.045779e-01	6.751366e-03	2.276334e-02
3.07          	1.997540e-01	6.594626e-03	2.247662e-02
3.08          	1.948814e-01	6.424578e-03	2.211166e-02
3.09          	2.064700e-01	6.238377e-03	2.182737e-02
3.1           	1.991665e-01	6.091165e-03	2.169159e-02
3.11          	1.967600e-01	5.951797e-03	2.167448e-02
3.12          	2.045363e-01	5.813096e-03	2.173262e-02
3.13          	2.055945e-01	5.678335e-03	2.180656e-02
3.14          	2.050841e-01	5.551537e-03	2.188185e-02
3.15          	2.081580e-01	5.429732e-03	2.196308e-02
3.16          	2.098099e-01	5.361653e-03	2.204484e-02
3.17          	2.039914e-01	5.335753e-03	2.221925e-02
3.18          	2.299904e-01	5.348156e-03	2.256237e-02
3.19          	2.259648e-01	5.392235e-03	2.293013e-02
3.2           	2.615219e-01	5.454127e-03	2.326127e-02
3.21          	2.679091e-01	5.560749e-03	2.376808e-02
3.22          	2.749168e-01	5.695086e-03	2.422935e-02
3.23          	2.922021e-01	5.860369e-03	2.469399e-02
3.24          	3.050562e-01	5.979871e-03	2.536784e-02
3.25          	3.192579e-01	6.103164e-03	2.590464e-02
3.26          	3.188495e-01	6.201751e-03	2.648046e-02
3.27          	3.379789e-01	6.294389e-03	2.706782e-02
3.28          	3.445604e-01	6.362933e-03	2.743103e-02
3.29          	3.458225e-01	6.412539e-03	2.758856e-02
3.3           	3.461586e-01	6.460774e-03	2.754558e-02
3.31          	3.436831e-01	6.514844e-03	2.727746e-02
3.32          	3.365923e-01	6.620908e-03	2.695302e-02
3.33          	3.419214e-01	6.754703e-03	2.661734e-02
3.34          	3.385496e-01	6.908214e-03	2.628581e-02
3.35          	3.392853e-01	7.103345e-03	2.608609e-02
3.36          	3.247757e-01	7.296281e-03	2.576632e-02
3.37          	3.180014e-01	7.494919e-03	2.562533e-02
3.38          	3.238495e-01	7.666383e-03	2.538318e-02
3.39          	3.080722e-01	7.802143e-03	2.518360e-02
3.4           	3.075939e-01	7.859465e-03	2.486541e-02
3.41          	3.000545e-01	7.892710e-03	2.440026e-02
3.42          	2.794423e-01	7.923467e-03	2.397082e-02
3.43          	2.666399e-01	7.923918e-03	2.357818e-02
3.44          	2.420363e-01	7.911419e-03	2.318458e-02
3.45          	2.266264e-01	7.904903e-03	2.277528e-02
3.46          	2.251782e-01	7.935643e-03	2.251891e-02
3.47          	2.239421e-01	7.946343e-03	2.224343e-02
3.48          	2.134564e-01	7.956964e-03	2.214195e-02
3.49          	2.106008e-01	7.961172e-03	2.204345e-02
3.5           	2.093326e-01	7.959548e-03	2.202235e-02
3.51          	2.025754e-01	7.953872e-03	2.210536e-02
3.52          	2.064194e-01	7.901197e-03	2.208819e-02
3.53          	2.061079e-01	7.812379e-03	2.201549e-02
3.54          	2.092579e-01	7.669053e-03	2.184742e-02
3.55          	2.113458e-01	7.458019e-03	2.167642e-02
3.56          	2.197602e-01	7.253661e-03	2.158762e-02
3.57          	2.083117e-01	7.080122e-03	2.157737e-02
3.58          	2.113958e-01	6.906543e-03	2.169303e-02
3.59          	2.112828e-01	6.763082e-03	2.181584e-02
3.6           	2.093898e-01	6.620165e-03	2.193632e-02
3.61          	2.225269e-01	6.475655e-03	2.212378e-02
3.62          	2.218323e-01	6.349729e-03	2.231301e-02
3.63          	2.241273e-01	6.247851e-03	2.252585e-02
3.64          	2.207524e-01	6.161008e-03	2.273975e-02
3.65          	2.259413e-01	6.124567e-03	2.304464e-02
3.66          	2.559262e-01	6.097228e-03	2.337294e-02
3.67          	2.710928e-01	6.121645e-03	2.370701e-02
3.68          	2.876516e-01	6.200913e-03	2.400941e-02
3.69          	2.820560e-01	6.299513e-03	2.427830e-02
3.7           	2.765702e-01	6.440574e-03	2.452087e-02
3.71          	2.732330e-01	6.545655e-03	2.491709e-02
3.72          	2.912291e-01	6.666127e-03	2.525941e-02
3.73          	3.074809e-01	6.747293e-03	2.562820e-02
3.74          	3.255988e-01	6.817678e-03	2.588239e-02
3.75          	3.273795e-01	6.864397e-03	2.597831e-02
3.76          	3.308032e-01	6.936877e-03	2.590236e-02
3.77          	3.274693e-01	7.034660e-03	2.566392e-02
3.78          	3.348865e-01	7.182825e-03	2.536507e-02
3.79          	3.342868e-01	7.393641e-03	2.498262e-02
3.8           	3.238450e-01	7.602251e-03	2.466569e-02
3.81          	3.001099e-01	7.828834e-03	2.427375e-02
3.82          	2.938534e-01	8.070889e-03	2.408262e-02
3.83          	2.947208e-01	8.275597e-03	2.391281e-02
3.84          	3.041931e-01	8.412736e-03	2.368289e-02
3.85          	2.998649e-01	8.532735e-03	2.342770e-02
3.86          	3.009929e-01	8.607032e-03	2.310763e-02
3.87          	2.823213e-01	8.673116e-03	2.272692e-02
3.88          	2.669121e-01	8.722593e-03	2.227677e-02
3.89          	2.483882e-01	8.705025e-03	2.189544e-02
3.9           	2.334471e-01	8.698655e-03	2.149386e-02
3.91          	2.163520e-01	8.684738e-03	2.116592e-02
3.92          	2.131282e-01	8.673664e-03	2.085425e-02
3.93          	2.102457e-01	8.660227e-03	2.061289e-02
3.94          	2.000205e-01	8.633094e-03	2.047998e-02
3.95          	1.971605e-01	8.621823e-03	2.038067e-02
3.96          	1.951641e-01	8.606360e-03	2.035098e-02
3.97          	1.921870e-01	8.563554e-03	2.029481e-02
3.98          	1.920468e-01	8.483048e-03	2.021028e-02
3.99          	1.978086e-01	8.312888e-03	2.009561e-02
4             	2.060378e-01	8.114481e-03	2.000633e-02
4.01          	2.047205e-01	7.933145e-03	1.999828e-02
4.02          	1.933933e-01	7.758397e-03	2.005068e-02
4.03          	1.925384e-01	7.603036e-03	2.016175e-02
4.04          	1.962848e-01	7.480907e-03	2.032679e-02
4.05          	1.974900e-01	7.347590e-03	2.050027e-02
4.06          	2.063032e-01	7.229172e-03	2.074508e-02
4.07          	2.089605e-01	7.121529e-03	2.107633e-02
4.08          	2.280709e-01	7.038776e-03	2.142865e-02
4.09          	2.489214e-01	6.965024e-03	2.179503e-02
4.1           	2.665124e-01	6.915238e-03	2.225023e-02
4.11          	2.850502e-01	6.907549e-03	2.266948e-02
4.12          	3.032250e-01	6.941791e-03	2.297830e-02
4.13          	3.024168e-01	6.987852e-03	2.325130e-02
4.14          	2.924162e-01	7.054051e-03	2.359293e-02
4.15          	2.939777e-01	7.123678e-03	2.391328e-02
4.16          	2.836543e-01	7.190416e-03	2.428262e-02
4.17          	3.000237e-01	7.227409e-03	2.458234e-02
4.18          	3.203602e-01	7.259737e-03	2.475797e-02
4.19          	3.328475e-01	7.270301e-03	2.478473e-02
4.2           	3.268809e-01	7.291023e-03	2.472025e-02
