# Residuals   
# Time        	p             	Ux            	Uy            
2.61          	3.444077e-01	6.091926e-03	3.159382e-02
2.62          	3.457310e-01	6.137993e-03	3.127710e-02
2.63          	3.362987e-01	6.158212e-03	3.101025e-02
2.64          	3.447247e-01	6.140832e-03	3.084426e-02
2.65          	3.489320e-01	6.114321e-03	3.064700e-02
2.66          	3.280870e-01	6.106157e-03	3.072654e-02
2.67          	3.562395e-01	6.090916e-03	3.078231e-02
2.68          	3.500079e-01	6.049843e-03	3.093487e-02
2.69          	3.483956e-01	5.993040e-03	3.110468e-02
2.70          	3.640854e-01	5.878404e-03	3.121701e-02
2.71          	3.574542e-01	5.761017e-03	3.106211e-02
2.72          	3.478334e-01	5.627333e-03	3.100306e-02
2.73          	3.369614e-01	5.538285e-03	3.104318e-02
2.74          	3.521868e-01	5.500066e-03	3.120690e-02
2.75          	3.798515e-01	5.503671e-03	3.162460e-02
2.76          	4.191092e-01	5.568964e-03	3.227595e-02
2.77          	4.582332e-01	5.655733e-03	3.288270e-02
2.78          	4.453751e-01	5.740889e-03	3.343941e-02
2.79          	4.257270e-01	5.845532e-03	3.417887e-02
2.80          	4.055038e-01	5.926209e-03	3.510664e-02
2.81          	4.129535e-01	6.011359e-03	3.595486e-02
2.82          	4.093287e-01	6.092690e-03	3.672723e-02
2.83          	3.915214e-01	6.113382e-03	3.720718e-02
2.84          	3.885847e-01	6.156629e-03	3.768067e-02
2.85          	3.780987e-01	6.163742e-03	3.783757e-02
2.86          	3.855472e-01	6.213014e-03	3.785728e-02
2.87          	3.878117e-01	6.241946e-03	3.781730e-02
2.88          	3.922803e-01	6.229638e-03	3.765335e-02
2.89          	4.065743e-01	6.234167e-03	3.742026e-02
2.90          	4.038654e-01	6.167514e-03	3.685328e-02
2.91          	3.773362e-01	6.142988e-03	3.624285e-02
2.92          	3.900240e-01	6.161916e-03	3.565306e-02
2.93          	3.956673e-01	6.208373e-03	3.521748e-02
2.94          	3.836527e-01	6.262916e-03	3.465868e-02
2.95          	3.924336e-01	6.305706e-03	3.412162e-02
