"p","nut","k","omega","U:0","U:1","U:2","h","Points:0","Points:1","Points:2"
-4.13253e-04,0.00000e+00,3.85857e-08,7.89161e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.21257e-03,9.68891e-02,-7.14145e-03,0.00000e+00
-4.13253e-04,0.00000e+00,3.85857e-08,7.89161e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.21257e-03,9.68891e-02,-7.14145e-03,2.90000e-01
-3.98165e-04,0.00000e+00,4.86294e-08,7.78789e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.05877e-03,9.84139e-02,-7.34780e-03,0.00000e+00
-3.98165e-04,0.00000e+00,4.86294e-08,7.78789e+02,0.00000e+00,0.00000e+00,0.00000e+00,-4.05877e-03,9.84139e-02,-7.34780e-03,2.90000e-01
-3.82469e-04,0.00000e+00,6.31207e-08,7.71428e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.89877e-03,9.99454e-02,-7.49586e-03,0.00000e+00
-3.82469e-04,0.00000e+00,6.31207e-08,7.71428e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.89877e-03,9.99454e-02,-7.49586e-03,2.90000e-01
-3.64948e-04,0.00000e+00,8.23336e-08,7.67159e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.72016e-03,1.01481e-01,-7.59163e-03,0.00000e+00
-3.64948e-04,0.00000e+00,8.23336e-08,7.67159e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.72016e-03,1.01481e-01,-7.59163e-03,2.90000e-01
-3.44761e-04,0.00000e+00,1.06749e-07,7.65069e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.51438e-03,1.03019e-01,-7.64687e-03,0.00000e+00
-3.44761e-04,0.00000e+00,1.06749e-07,7.65069e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.51438e-03,1.03019e-01,-7.64687e-03,2.90000e-01
-3.21659e-04,0.00000e+00,1.36292e-07,7.64568e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.27888e-03,1.04557e-01,-7.66339e-03,0.00000e+00
-3.21659e-04,0.00000e+00,1.36292e-07,7.64568e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.27888e-03,1.04557e-01,-7.66339e-03,2.90000e-01
-2.95210e-04,0.00000e+00,1.72435e-07,7.65524e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.00928e-03,1.06096e-01,-7.64314e-03,0.00000e+00
-2.95210e-04,0.00000e+00,1.72435e-07,7.65524e+02,0.00000e+00,0.00000e+00,0.00000e+00,-3.00928e-03,1.06096e-01,-7.64314e-03,2.90000e-01
-2.64958e-04,0.00000e+00,2.16913e-07,7.67589e+02,0.00000e+00,0.00000e+00,0.00000e+00,-2.70090e-03,1.07634e-01,-7.58810e-03,0.00000e+00
-2.64958e-04,0.00000e+00,2.16913e-07,7.67589e+02,0.00000e+00,0.00000e+00,0.00000e+00,-2.70090e-03,1.07634e-01,-7.58810e-03,2.90000e-01
-2.30440e-04,0.00000e+00,2.69962e-07,7.70654e+02,0.00000e+00,0.00000e+00,0.00000e+00,-2.34903e-03,1.09170e-01,-7.50035e-03,0.00000e+00
-2.30440e-04,0.00000e+00,2.69962e-07,7.70654e+02,0.00000e+00,0.00000e+00,0.00000e+00,-2.34903e-03,1.09170e-01,-7.50035e-03,2.90000e-01
-1.91148e-04,0.00000e+00,3.33487e-07,7.74793e+02,0.00000e+00,0.00000e+00,0.00000e+00,-1.94850e-03,1.10704e-01,-7.38198e-03,0.00000e+00
